project_id,project_name,project_type,client,priority,status,start_date,end_date,budget_usd,actual_spend_usd,project_manager_id,tech_lead_id,team_size,avg_velocity,client_satisfaction,region,billable
699083,Delta Systems – API Integration,API Integration,Frontier AI,Medium,Completed,2022-05-30,2022-12-11,57562,30295,587274,232731,4,47.4,3.4,APAC,Yes
907069,OmegaRetail – Cloud Migration,Cloud Migration,NovaCare,High,In Progress,2022-06-24,2023-06-08,726154,724953,137572,304110,3,46.1,,Europe,Yes
818651,Apex Corp – AI/ML Model,AI/ML Model,Frontier AI,High,Planning,2020-04-21,2020-09-22,169982,3820,929130,952679,11,,,North America,Yes
571923,Cornerstone Inc – ERP Implementation,ERP Implementation,LumaMedia,Critical,In Progress,2021-03-09,2021-07-21,638324,593010,470248,681141,10,22.0,,North America,No
711324,Apex Corp – Marketing Campaign,Marketing Campaign,HorizonBank,Critical,In Progress,2021-02-15,2022-04-25,557186,195624,187949,560485,10,32.9,,North America,Yes
507523,LumaMedia – Cloud Migration,Cloud Migration,BlueSky Ltd,Medium,Planning,2023-08-22,2024-04-05,76566,292,565765,676680,18,,,APAC,No
726111,GlobalTech – Marketing Campaign,Marketing Campaign,LumaMedia,High,Completed,2022-07-26,2023-06-08,288535,209347,933456,553014,3,38.2,3.3,Europe,Yes
463625,Elevate Health – AI/ML Model,AI/ML Model,OmegaRetail,Medium,Cancelled,2022-10-23,2023-04-12,178506,89391,587575,940181,22,,,LATAM,Yes
681896,Keystone Partners – Cloud Migration,Cloud Migration,JetStream LLC,Medium,Completed,2023-09-07,2023-12-16,199194,211663,477400,202365,14,52.7,3.8,Europe,No
352036,Keystone Partners – Product Launch,Product Launch,Meridian Group,High,In Progress,2021-11-05,2022-07-22,407557,437420,203996,903506,8,28.9,,Europe,Yes
424008,InnovateCo – Marketing Campaign,Marketing Campaign,InnovateCo,High,In Progress,2023-03-02,2024-07-13,232203,199183,239999,926394,4,25.1,,North America,Yes
433025,LumaMedia – Data Pipeline,Data Pipeline,OmegaRetail,Critical,Planning,2022-04-27,2023-10-01,868336,152850,701344,742039,16,,,APAC,Yes
916953,Apex Corp – API Integration,API Integration,Frontier AI,High,Completed,2023-06-07,2024-05-17,273720,88211,715332,963918,20,25.7,3.1,North America,No
240600,Delta Systems – Marketing Campaign,Marketing Campaign,Delta Systems,Low,Cancelled,2022-03-04,2022-12-10,54015,24651,613426,479580,7,,,North America,No
901677,OmegaRetail – Web Platform,Web Platform,HorizonBank,Medium,In Progress,2021-02-19,2022-04-12,136682,127252,594379,133276,7,27.5,,Middle East,No
821276,JetStream LLC – AI/ML Model,AI/ML Model,JetStream LLC,Low,Completed,2020-03-26,2021-03-02,61040,39318,431752,591699,14,35.8,4.8,Middle East,Yes
645940,Apex Corp – Mobile App,Mobile App,InnovateCo,Low,In Progress,2021-05-18,2022-03-09,10559,11045,793805,486244,25,26.2,,LATAM,Yes
299072,InnovateCo – Cloud Migration,Cloud Migration,OmegaRetail,Low,In Progress,2021-08-08,2022-05-01,44918,43014,283017,695225,11,35.0,,Europe,No
970206,Cornerstone Inc – ERP Implementation,ERP Implementation,GlobalTech,High,Cancelled,2024-05-13,2025-04-07,604977,239689,575458,187949,19,,,LATAM,Yes
572788,Frontier AI – Web Platform,Web Platform,LumaMedia,High,In Progress,2021-02-17,2022-06-13,698990,742414,109585,270555,10,35.4,,Europe,Yes
195620,JetStream LLC – Mobile App,Mobile App,Cornerstone Inc,Low,Cancelled,2023-12-19,2024-08-01,52571,19583,345722,669460,18,,,LATAM,No
